Shape,CATEGORY,VENDORNAME,WEBSITE,ADDRESS,CITY,STATE,ZIP,TELEPHONE,CAMERAICON,BOROUGH,BCODE,HOUSENUM,STREETNAME
"(40.70498079200007, -74.00246339099994)",Marine & Water Services,"Circle Line Harbor Cruises, LLC",http://www.circlelinedowntown.com,Pier 16,New York,NY,10004,(212) 809-0808,yes,Manhattan,1, ,PIER 16
"(40.74807318100005, -74.00854624199991)",Marine & Water Services,Classic Harbor Line,http://www.sail-nyc.com,Pier 62,New York,NY,10011,(646) 336-5270,yes,Manhattan,1, ,PIER 62
"(40.73929853100009, -74.00047994099992)",Medical Services,Better Hearing & Vision,http://economybestvisionandhearing.blogspot.com,223 West 14th Street,New York,NY,10011,(212) 243-4884, ,Manhattan,1,223,WEST 14 STREET
"(40.71628070400004, -74.00834376099994)",Medical Services,DisRespectacles,http://www.disrespectacles.com,117 West Broadway,New York,NY,10013, ,yes,Manhattan,1,117,WEST BROADWAY
"(40.73333961600008, -74.0036190809999)",Medical Services,DisRespectacles,http://www.disrespectacles.com,82 Christopher Street,New York,NY,10014,(212) 741-9550,yes,Manhattan,1,82,CHRISTOPHER STREET
"(40.76404347500005, -73.96801611099994)",Medical Services,Dr. Carmen Schuller,http://www.carmenschullerdds.com/,115 East 61st Street,New York,NY,10021,(212) 826-6115, ,Manhattan,1,115,EAST 61 STREET
"(40.76391151300004, -73.96725087199991)",Medical Services,Dr. Joseph Y. Bistricer,http://www.drjoeatsterlingeyes.com,794 Lexington Avenue,New York,NY,10021,(212) 755-8927, ,Manhattan,1,794,LEXINGTON AVENUE
"(40.752641261000065, -73.97727583499994)",Medical Services,Grand Central Optical,http://grandcentraloptical.com,Grand Central Terminal,New York,NY,10017,(212) 599-1220, ,Manhattan,1, ,GRAND CENTRAL TERMINAL
"(40.741092662000085, -73.98530186199991)",Medical Services,Park Avenue Laser Vision,http://www.iwant2020.com,333 Park Avenue South,New York,NY,10010,(212) 741-2390,yes,Manhattan,1,333,PARK AVENUE SOUTH
"(40.78362319800004, -73.97399732199995)",Medical Services,Royal Opticians Inc., ,453 Columbus Avenue,New York,NY,10024,(212) 873-4499 / or Direct: (212) 935-2750, ,Manhattan,1,453,COLUMBUS AVENUE
"(40.77510655000009, -73.96468911699992)",Medical Services,Travelers Medical Center/Urgent Care Center,http://www.productionshootdoctor.com,952 Fifth Avenue,New York,NY,10021,(212) 737-1212,yes,Manhattan,1,952,FIFTH AVENUE
"(40.614256752000074, -73.75346952799993)",Medical Services,First Response Ambulance, ,455 Bayview Avenue,Inwood,NY,11096,(516) 239-1032 x102, ,New York State,6,455,BAYVIEW AVENUE
"(40.612015779000046, -73.75290513199991)",Medical Services,"Hunter Ambulance, Inc.",http://www.hunterambulance.com,28 Sheridan Blvd.,Inwood,NY,11096,(718) 372-0700, ,New York State,6,28,SHERIDAN BOULVARD
"(40.72026121200008, -73.86255595799992)",Medical Services,Acupuncture Health Services,http://www.moxamia.com,86-15A 65th Drive,Rego Park,NY,11374,(718) 482-1927, ,Queens,4,86-15A,65 DRIVE
"(40.804996473000074, -73.90914380399994)","Moving, Storage & Trailers",All Around Moving Services Company,http://www.allaroundmoving.com,802 East 140th Street,Bronx,NY,10454,(212) 781-4118, ,Bronx,2,802,EAST 140 STREET
"(40.642698007000035, -73.97018584199992)","Moving, Storage & Trailers","Dahill Moving & Storage Co., Inc.",http://www.dahillmoving.com,600 Coney Island Avenue,Brooklyn,NY,11218,(800) 765-0905, ,Brooklyn,3,600,CONEY ISLAND AVENUE
"(40.65034639500004, -73.56924348399991)","Moving, Storage & Trailers",DB Schenker,http://www.dbschenkerusa.com,150 Albany Avenue,Freeport,NY,11520,(516) 377-3138, ,Long Island,6,150,ALBANY AVENUE
"(40.752479502000085, -74.00683151399994)","Moving, Storage & Trailers",Chelsea Mini Storage,http://www.chelsea-mini-storage.com,224 12th Avenue,New york,NY,10001,(212) 564-7735, ,Manhattan,1,224,12 AVENUE
"(40.75353424100007, -73.9921223369999)","Moving, Storage & Trailers",Manhattan Mini Storage,http://www.manhattanministorage.com,520 Eighth Avenue,New York,NY,10018,(800) STORAGE, ,Manhattan,1,520,8 AVENUE
"(40.75218885000004, -74.00578891999993)","Moving, Storage & Trailers",Moves LLC,http://www.movesllc.com,626 West 28th Street,New York,NY,10001,(212) 695-0200, ,Manhattan,1,626,WEST 28 STREET
"(40.794732485000054, -73.12155415099994)","Moving, Storage & Trailers",Cassone Trailer and Container Company,http://www.cassone.com,1950 Lakeland Avenue,Ronkonkoma,NY,11779,(631) 585-7800 / (800) 640-8844, ,New York State,6,1950,LAKELAND AVENUE
"(40.74496084500004, -73.94355702199994)","Moving, Storage & Trailers",Citiwide Self Storage,http://www.citiwideselfstorage.com,45-55 Pearson Street,Long Island City,NY,11101,(718) 482-0300,yes,Queens,4,45-55,PEARSON STREET
"(40.733149205000075, -73.90135413899992)","Moving, Storage & Trailers",CRS-Corporate Relocation Systems Inc.,http://www.crsmove.com,64-54 Maurice Avenue,Maspeth,NY,11378,(718) 424-6000, ,Queens,4,64-54,MAURICE AVENUE
"(40.83102978000005, -73.91975017699991)","Museums, Galleries & Tours",Bronx Museum of the Arts,http://www.bronxmuseum.org,1040 Grand Concourse,Bronx,NY,10456,(718) 681-6000, ,Bronx,2,1040,GRAND CONCOURSE
"(40.87819269600004, -73.91684013299994)","Museums, Galleries & Tours",SusanSez NYC Walkabouts,http://www.susansez.com,555 Kappock Street,Bronx,NY,10463,(917) 509-3111, ,Bronx,2,555,KAPPOCK STREET
"(40.69480297500007, -73.99240540399995)","Museums, Galleries & Tours",Brooklyn Historical Society,http://www.brooklynhistory.org,128 Pierrepont Street,Brooklyn,NY,11201,"(718) 222-4111, ext. 226",yes,Brooklyn,3,128,PIERREPONT STREET
"(40.76983378300008, -73.9642839569999)","Museums, Galleries & Tours",Asia Society and Museum,http://www.asiasociety.org,725 Park Avenue,New York,NY,10021,(212) 288-6400,yes,Manhattan,1,725,PARK AVENUE
"(40.79309892100008, -73.9513676009999)","Museums, Galleries & Tours",El Museo del Barrio,http://www.elmuseo.org,1230 5th Avenue,New York,NY,10029,(212) 831-7272,yes,Manhattan,1,1230,5 AVENUE
"(40.80341689000005, -73.94638626199992)","Museums, Galleries & Tours",Casa Frela Gallery,http://www.casafrela.com,47 West 119th Street,New York,NY,10026,(212) 722-8577,yes,Manhattan,1,47,WEST 119 STREET
"(40.720749469000054, -73.99883836099991)","Museums, Galleries & Tours",Children's Museum of the Arts,http://www.cmany.org,182 Lafayette Street,New York,NY,10013,(212) 274-0986,yes,Manhattan,1,182,LAFAYETTE STREET
"(40.763605494000046, -73.9627964089999)","Museums, Galleries & Tours",Enthusiastic Gourmet,http://www.enthusiasticgourmet.com,245 East 63rd Street,New York,NY,10021,(646) 209-4724, ,Manhattan,1,245,EAST 63 STREET
"(40.75624185500004, -73.99850205899992)","Museums, Galleries & Tours",Exit Art,http://www.exitart.org,475 Tenth Avenue,New York,NY,10018,(212) 966-7745, ,Manhattan,1,475,TENTH AVENUE
"(40.744636419000074, -73.98774067499994)","Museums, Galleries & Tours","Family in New York, Inc.",http://www.familyinnewyork.com,244 Fifth Avenue,New York,NY,10001,(646) 717-4700, ,Manhattan,1,244,FIFTH AVENUE
"(40.759731945000055, -73.9785255999999)","Museums, Galleries & Tours",FDNY Fire Zone,http://www.fdnyfirezone.org,34 West 51st Street,New York,NY,10020,(212) 698-4520,yes,Manhattan,1,34,WEST 51 STREET
"(40.72180579900004, -73.99031350699994)","Museums, Galleries & Tours",FusionArts Museum,http://www.artnet.com/fusionartsmuseum.html,57 Stanton Street,New York,NY,10002,(212) 995-5290,yes,Manhattan,1,57,STANTON STREET
"(40.799295113000085, -73.96226719599991)","Museums, Galleries & Tours",Harlem Hip Hop Tours,http://www.harlemhiphoptours.com,69 West 106th Street,New York,NY,10025,(212) 769-9047,yes,Manhattan,1,69,WEST 106 STREET
"(40.74019602800007, -73.99708422899994)","Museums, Galleries & Tours",Joyce Gold History Tours of NY,http://www.nyctours.com,141 West 17th Street,New York,NY,10011,(212) 242-5762,yes,Manhattan,1,141,WEST 17 STREET
"(40.75638789000004, -73.98881837599993)","Museums, Galleries & Tours",Madame Tussauds New York,http://www.nycwax.com,234 West 42nd Street,New York,NY,10036,(212) 512-9600, ,Manhattan,1,234,WEST 42 STREET
"(40.760549565000076, -73.9597298459999)","Museums, Galleries & Tours",Mount Vernon Hotel Museum & Garden,http://www.nvhm.org,421 East 61st Street,New York,NY,10065,(212) 838-6878, ,Manhattan,1,421,EAST 61 STREET
"(40.70541651900004, -74.0128472259999)","Museums, Galleries & Tours",Museum of American Finance,http://www.financialhistory.org,28 Broadway,New York,NY,10004,(212) 908-4110, ,Manhattan,1,28,BROADWAY
"(40.70598664700009, -74.01858571699995)","Museums, Galleries & Tours",Museum of Jewish Heritage,http://www.mjhnyc.org,36 Battery Place,New York,NY,10280,(646) 437-4200,yes,Manhattan,1,36,BATTERY PLACE
"(40.76126512700006, -73.97665923099993)","Museums, Galleries & Tours",Museum of Modern Art,http://www.moma.org,11 West 53rd Street,New York,NY,10019,(212) 708-9400,yes,Manhattan,1,11,WEST 53 STREET
"(40.919455293000055, -73.85180603299995)",Production Company,Westchester HD,http://www.Westchesterhd.com,168 Vernon Avenue,Yonkers,NY,10704,(914) 237-5794 ext 211, ,New York State,6,168,VERNON AVENUE
"(40.776575663000074, -73.90100885599992)",Production Company,hscusa.tv,http://www.hscusa.tv,19-69 Steinway Street,Astoria,NY,11105,(718) 626-6226,yes,Queens,4,19-69,STEINWAY STREET
"(40.67358340000004, -73.74125987399992)",Production Company,Frontin' Big Willies Entertainment,http://www.fbwent.com,135 26 Francis Lewis Boulevard,Laurelton,NY,11413,(917) 751-6304, ,Queens,4,135-26,FRANCIS LEWIS BOULEVARD
"(40.82630582000007, -73.88392277799994)",Props,American Christmas,http://www.americanxmas.com,1135 Bronx River Avenue,Bronx,NY,10472,(718) 402-9700, ,Bronx,2,1135,BRONX RIVER AVENUE
"(40.86365791800006, -73.86328996499992)",Props,C&C Amusements Inc.,http://www.ccamusements.com,2516 Barnes Avenue,Bronx,NY,10467,(718) 515-6753, ,Bronx,2,2516,BARNES AVENUE
"(40.72289451900008, -73.93593101099992)",Props,Bridge Furniture & Props,http://www.bridgeprops.com,126 Lombardy Street,Brooklyn,NY,11222,(718) 916-9706, ,Brooklyn,3,126,LOMBARDY STREET
"(40.67994510500006, -73.98751821799993)",Props,"Jauchem and Meeh, Inc.",http://www.jmfx.net,524 Sackett Street,Brooklyn,NY,11217,(718) 875-0140,yes,Brooklyn,3,524,SACKETT STREET
"(40.67405976500004, -74.01675266399991)",Props,Jerard Studio Inc,http://www.jerardstudio.com/,481 Van Brunt Street,Brooklyn,NY,11231,(718) 852-4128, ,Brooklyn,3,481,VAN BRUNT STREET
"(40.69191214300008, -73.98608078299992)",Props,New York Furniture & Home,http://www.ny-furniture.com,135 Lawrence Street,Brooklyn,NY,11201,(718) 522-3004, ,Brooklyn,3,135,LAWRENCE STREET
"(40.740933194000036, -73.99171772199992)",Props,Abracadabra Superstore,http://www.abracadabrasuperstore.com,19 West 21st Street,New York,NY,10010,(212) 627-5194, ,Manhattan,1,19,WEST 21 STREET
"(40.74584993000008, -73.99139630099995)",Props,ACE Banner/Flag and Graphics,http://www.acebanner.com,107 West 27th Street,New York,NY,10001,(212) 620-9111,yes,Manhattan,1,107,WEST 27 STREET
"(40.71988989500005, -73.98958867399995)",Props,Altman Luggage,http://www.altmanluggage.com,135 Orchard Street,New York,NY,10002,(212) 254-7275, ,Manhattan,1,135,ORCHARD STREET
"(40.75496638300007, -73.97742950799994)",Props,Ambassador Luggage,http://www.ambassadorluggage.com,371 Madison Avenue,New York,NY,10017,(212) 972-0965,yes,Manhattan,1,371,MADISON AVENUE
"(40.76405843500004, -73.98971894499994)",Props,Art: ASAP,http://www.artasap.com,415 West 50th Street,New York,NY,10019,(718) 402-9700, ,Manhattan,1,415,WEST 50 STREET
"(40.75049601500007, -73.98411236399994)",Props,"Centre Firearms Co., Inc.", ,10 West 37th Street,New York,NY,10018,(212) 244-4040,yes,Manhattan,1,10,WEST 37 STREET
"(40.792509034000034, -73.9519169749999)","Museums, Galleries & Tours",Museum of the City of New York,http://www.mcny.org,1220 Fifth Avenue,New York,NY,10029,(212) 534-1672 ext. 3323,yes,Manhattan,1,1220,FIFTH AVENUE
"(40.77923446300008, -73.9744214939999)","Museums, Galleries & Tours",New York Historical Society,http://www.nyhistory.org,170 Central Park West,New York,NY,10024,(212) 873-3400, ,Manhattan,1,170,CENTRAL PARK WEST
"(40.74795717900008, -73.9845207919999)","Museums, Galleries & Tours",On Location Tours,http://www.screentours.com,347 5th Avenue,New York,NY,10016,(212) 683-3516, ,Manhattan,1,347,5 AVENUE
"(40.78136232500009, -73.95108730499993)","Museums, Galleries & Tours",PhotoTrek Tours,http://www.phototrektours.com,1619 3rd Avenue,New York,NY,10128,(212) 410-2514, ,Manhattan,1,1619,3 AVENUE
"(40.76877761800006, -73.95089437699994)","Museums, Galleries & Tours","Signature Tours, Inc.", ,520 East 76th Street,New York,NY,10021,(212) 517-4306, ,Manhattan,1,520,EAST 76 STREET
"(40.783009476000075, -73.9589110199999)","Museums, Galleries & Tours",Solomon R. Guggenheim Museum,http://www.guggenheim.org,1071 Fifth Avenue,New York,NY,10128,(212) 423-3500,yes,Manhattan,1,1071,FIFTH AVENUE
"(40.75531918000007, -73.98981413899992)","Museums, Galleries & Tours",Striking Viking Story Pirates,http://www.storypirates.com,250 West 40th Street,New York,NY,10018,(310) 880-4725, ,Manhattan,1,250,WEST 40 STREET
"(40.70368224200007, -74.0083566109999)","Museums, Galleries & Tours",The New York City Police Museum,http://www.nycpolicemuseum.org,100 Old Slip,New York,NY,10005,(212) 480-3100,yes,Manhattan,1,100,OLD SLIP
"(40.76057363800004, -73.97760161399992)","Museums, Galleries & Tours",The Paley Center for Media,http://www.paleycenter.org,25 West 52nd Street,New York,NY,10019,(212) 621-6600,yes,Manhattan,1,25,WEST 52 STREET
"(40.83218656200006, -73.9453693339999)","Museums, Galleries & Tours","The West Harlem Art Fund, Inc.",http://www.myharlem.org,550 West 155th Street,New York,NY,10032,(212) 694-8327, ,Manhattan,1,550,WEST 155 STREET
"(40.76120039600005, -73.9845054349999)","Museums, Galleries & Tours",Walkin' Broadway,http://www.walkinbroadway.com,1619 Broadway,New York,NY,10019,(212) 997-5004, ,Manhattan,1,1619,BROADWAY
"(40.75069445500009, -73.97361316399991)","Museums, Galleries & Tours",We Ate New York,http://www.weatenewyork.com,209 East 42nd Street,New York,NY,10017,(917) 608-4235, ,Manhattan,1,209,EAST 42 STREET
"(40.75644447600007, -73.92379966599992)","Museums, Galleries & Tours",Museum of the Moving Image,http://www.movingimage.us,3601 35th Avenue,Astoria,NY,11106,(718) 784-0077, ,Queens,4,36-01,35 AVENUE
"(40.625255493000054, -74.11563029099995)","Museums, Galleries & Tours",Staten Island Zoo,http://www.statenislandzoo.org,614 Broadway,Staten Island,NY,10310,(718) 442-3101,yes,Staten Island,5,614,BROADWAY
"(40.71074521400004, -73.93417163499993)","Music, Audio & Sound",DJ Pro Audio,http://www.djproaudio.com,195 Morgan Avenue,Brooklyn,NY,11237,(877) 357-7677, ,Brooklyn,3,195,MORGAN AVENUE
"(40.65833062200005, -73.99687515999995)","Music, Audio & Sound","National Recording Supplies, Inc.",http://www.tapes.com,764 5th Avenue,Brooklyn,NY,11232,(718) 369-8273,yes,Brooklyn,3,764,5 AVENUE
"(40.68889623700005, -73.99249622399992)","Music, Audio & Sound",Rashid Music Sales Co. Inc.,http://www.rashid.com,155 Court Street,Brooklyn,NY,11201,(718) 852-3295,yes,Brooklyn,3,155,COURT STREET
"(40.70410451300006, -73.98707007299993)","Music, Audio & Sound",Triple Z Music,http://www.triplezmusic.com,20 Jay Street,Brooklyn,NY,11201,(718) 624-6300, ,Brooklyn,3,20,JAY STREET
"(40.75985225800008, -73.99120023299992)","Music, Audio & Sound","ACM Music, Inc.",http://www.acmrecords.com,630 9th Avenue,New York,NY,10036,(201) 796-0848 or (201) 637-0977, ,Manhattan,1,630,9 AVENUE
"(40.766405166000084, -73.98945144099991)","Music, Audio & Sound",Avatar Studios,http://www.avatarstudios.com,441 West 53rd Street,New York,NY,10019,(212) 765-7500,yes,Manhattan,1,441,WEST 53 STREET
"(40.75243832600006, -73.97576487399994)","Music, Audio & Sound",HSR/NY,http://www.hsrny.com,420 Lexington Avenue,New York,NY,10170,(212) 687-4180,yes,Manhattan,1,420,LEXINGTON AVENUE
"(40.75784271300006, -73.98978848799993)","Music, Audio & Sound","Trevi Music Productions, Inc",http://www.trevimusic.com,300 West 43rd Street,New York,NY,10036,(212) 956-9390,yes,Manhattan,1,300,WEST 43 STREET
"(40.751564633000044, -74.00651829499992)","Music, Audio & Sound",B-Train Sound,http://www.b-trainsound.com,601 West 26th Street,New York,NY,10001,(516) 380-5947, ,Manhattan,1,601,WEST 26 STREET
"(40.75525631800008, -73.99349939199993)","Music, Audio & Sound","Gotham Sound and Communications, Inc.",http://www.gothamsound.com,330 West 38th Street,New York,NY,10018,(212) 629-9430, ,Manhattan,1,330,WEST 38 STREET
"(40.75476435100006, -73.9940723389999)","Music, Audio & Sound",Jim Flynn Rentals,http://www.jimflynnrentals.com,336 West 37th Street,New York,NY,10018,(212) 807-1800, ,Manhattan,1,336,WEST 37 STREET
"(40.721319701000084, -73.98745274599992)","Music, Audio & Sound",Ludlow Guitars,http://www.ludlowguitars.com,164 Ludlow Street,New York,NY,10002,(212) 353-1775, ,Manhattan,1,164,LUDLOW STREET
"(40.755950648000066, -73.99206635899992)","Music, Audio & Sound",Skyview Sound,http://www.skyviewsound.com,315 West 39th Street,New York,NY,10018,(212) 729-3333, ,Manhattan,1,315,WEST 39 STREET
"(40.75629231800008, -73.98022715899992)","Music, Audio & Sound",Sound Image NY, ,16 West 46th Street,New York,NY,10036,(212) 986-6445,yes,Manhattan,1,16,WEST 46 STREET
"(40.74023123300009, -73.9891055459999)","Music, Audio & Sound",Soundtrack/NY and Soundtrack Film/Television,http://www.soundtrackny.com,936 Broadway,New York,NY,10010,(212) 402-1433,yes,Manhattan,1,936,BROADWAY
"(40.72004127900004, -74.0033550089999)","Music, Audio & Sound",Uncle Steve Car Stereo & Pro Audio, ,334 Canal Street,New York,NY,10013,(212) 925-5185,yes,Manhattan,1,334,CANAL STREET
"(40.91927601200007, -73.85188481599994)","Music, Audio & Sound",Mixdown Recording Studio,http://www.mixdownstudio.com,168 Vernon Avenue,Yonkers,NY,10704,(914) 237-5794 ext 213,yes,New York State,6,168,VERNON AVENUE
"(40.577990997000086, -74.16051802299995)","Music, Audio & Sound","Sounds Big Productions, Inc",http://www.soundsbigproductions.com,57 Canon Drive,Staten Island,NY,10314,(212) 920-4639,yes,Staten Island,5,57,CANON DRIVE
"(40.76531473000006, -73.9829897329999)","Music, Audio & Sound","Btoven Music, LLC",http://www.btovenmusic.com/,245 West 55th Street,New York,NY,10019,(917) 749-0271, ,Manhattan,1,245,WEST 55 STREET
"(40.72873759400005, -73.94007460199992)",Office Supplies & Services,"Long Island Carpet Cleaners, Inc.",http://www.licarpetcleaners.com,301 Norman Avenue,Brooklyn,NY,11222,(718) 383-7000,yes,Brooklyn,3,301,NORMAN AVENUE
"(40.63554373000005, -73.97609790699994)",Office Supplies & Services,Toner Quest,http://www.tonerquest.com,666 East 3rd Street,Brooklyn,NY,11218,(718) 854-1663, ,Brooklyn,3,666,EAST 3 STREET
"(40.65785030600006, -73.99773657899993)",Office Supplies & Services,Yale Picture Frame and Moulding U.S.A. Corp.,http://www.yalepf.com,770 5th Avenue,Brooklyn,NY,11232,(718) 788-6200, ,Brooklyn,3,770,5 AVENUE
"(40.75450768500008, -73.99207085199993)",Office Supplies & Services,1-800 We Answer,http://www.weanswer.com,545 8th Avenue,New York,NY,10018,(800) 932-6793, ,Manhattan,1,545,8 AVENUE
"(40.75176009900008, -73.98027303899994)",Office Supplies & Services,ABC Office Essentials,http://www.abc-office-essentials.com,284 Madison Avenue,New York,NY,10017,(212) 532-7771, ,Manhattan,1,284,MADISON AVENUE
"(40.76625885100009, -73.98251296599994)",Office Supplies & Services,Accurate Printing and Graphics,http://www.accuprinting.com,250 West 57th Street,New York,NY,10107,(212) 265-4304, ,Manhattan,1,250,WEST 57 STREET
"(40.75169254900004, -73.98032003999992)",Office Supplies & Services,Airline Stationery Company Inc.,http://www.airlineinc.com,284 Madison Avenue,New York,NY,10017,(212) 532-7771, ,Manhattan,1,284,MADISON AVENUE
"(40.756108346000076, -73.97979768499994)",Office Supplies & Services,Arthur Brown & Bro Inc.,http://www.artbrown.com,2 West 46th Street,New York,NY,10036,(212) 575-5555,yes,Manhattan,1,2,WEST 46 STREET
"(40.75359867100008, -73.95643509699994)",Office Supplies & Services,Best Home Services Ltd,http://www.thebesthomeservices.com,531 Main Street,New York,NY,10044,(212) 688-6712, ,Manhattan,1,531,MAIN STREET
"(40.752493952000066, -73.9917302309999)",Office Supplies & Services,MPH Courier Service,http://www.mphny.com,247 West 35th Street,New York,NY,10001,(212) 239-1818,yes,Manhattan,1,247,WEST 35 STREET
"(40.72427101300008, -73.99730805099995)",Software & Internet Services,"Bway.net, Inc.",http://www.bwaynet.inc,568 Broadway,New York,NY,10012,(212) 982-9800, ,Manhattan,1,568,BROADWAY
"(40.733630245000086, -74.00924800199994)",Office Supplies & Services,Digital Plus,http://www.digitalplus.com,160 Charles Street,New York,NY,10014,(212) 533-7224, ,Manhattan,1,160,CHARLES STREET
"(40.74455150500006, -73.9894873799999)",Office Supplies & Services,"Elite Couriers, Inc.",http://www.newyorksbestkeptsecret.com,18 West 27th Street,New York,NY,10001,(212) 696-4000,yes,Manhattan,1,18,WEST 27 STREET
"(40.74475994000005, -73.98779839399992)",Office Supplies & Services,ID Cleaners & Carpeting Inc.,http://www.idcleaners.com,246 Fifth Avenue,New York,NY,10001,(212) 843-9464,yes,Manhattan,1,246,FIFTH AVENUE
"(40.76060398300007, -73.99032133599991)",Food & Restaurants,Village Pourhouse,http://www.villagepourhouse.com,366 West 46th Street,New York,NY,10036,(212) 979-2337,yes,Manhattan,1,366,WEST 46 STREET
"(40.74841074800008, -73.99095927299993)",Office Supplies & Services,Jason Office Products Inc.,http://www.jasonoffice.com,140 West 31st Street,New York,NY,10001,(212) 279-7455,yes,Manhattan,1,140,WEST 31 STREET
"(40.75403212700007, -73.99290396399994)",Office Supplies & Services,Lightspeed Express Delivery Systems,http://www.lightspeed.biz,307 West 36th Street,New York,NY,10018,(212) 594-3001, ,Manhattan,1,307,WEST 36 STREET
"(40.76063477100007, -73.9689887639999)",Office Supplies & Services,McMaid Inc.,http://www.mcmaid.com,136 East 57th Street,New York,NY,10022,(212) 371-5555, ,Manhattan,1,136,EAST 57 STREET
"(40.61364526400007, -73.9736889479999)",Office Supplies & Services,Poster Printers,http://www.theposterprinters.com,1607 McDonald Avenue,Brooklyn,NY,11230,(718) 375-3113, ,Brooklyn,1,1607,MCDONALD AVENUE
"(40.72237413000005, -74.00747507799991)",Office Supplies & Services,PYCECO Distributor Corportaion, ,17 Vestry Street,New York,NY,10013,(212) 966-7780, ,Manhattan,1,17,VESTRY STREET
"(40.75043264000004, -73.98241967299992)",Office Supplies & Services,Spark Direct/Kwik Kopy Printing,http://www.discnyc.com,7 East 37 Street,New York,NY,10016,(212) 328-2001,yes,Manhattan,1,7,EAST 37 STREET
"(40.77185751500008, -73.9586435139999)",Office Supplies & Services,Specialty Answering Service,http://www.specialtyansweringservice.net/,1317 Third Avenue,New York,NY,10021,(888) 532-4794, ,Manhattan,1,1317,THIRD AVENUE
"(40.70337428300007, -74.01397570899991)",Office Supplies & Services,United Office Solutions,http://www.unitedofficesolutions.com,1 Battery Park Plaza,New York,NY,10004,"(212) 725-0700, ext. 223",yes,Manhattan,1,1,BATTERY PARK PLAZA
"(40.74317310500004, -73.99093542599991)",Office Supplies & Services,"Walkieboy, Inc.",http://www.walkieboy.com,27 West 24th Street,New York,NY,10010,(212) 691-2662, ,Manhattan,1,27,WEST 24 STREET
"(40.75634995300004, -73.98114354199993)",Office Supplies & Services,Influence Graphics,http://www.influencegraphics.com,45 West 45th Street,New York,NY,10036,(212) 354-6123, ,Manhattan,1,45,WEST 45 STREET
"(40.83847665800005, -74.07116608299992)",Office Supplies & Services,Kitstrucks,http://www.kitstrucks.com,155 Anderson Ave,Moonachie,NJ,7074,(201) 531-9700, ,New Jersey,0,155,ANDERSON AVE
"(40.667154090000054, -73.70760615799992)",Office Supplies & Services,Metro Weather Service,http://www.metroweather.com,71 South Central Avenue,Valley Stream,NY,11580,(800) 488-7866, ,New York State,6,71,SOUTH CENTRAL AVENUE
"(40.761049368000045, -73.88622401899994)",Office Supplies & Services,Flat Rate Carpet & Upholstery,http://www.flatratecarpet.com,8202 30 Avenue,East Elmhurst,NY,11370,(718) 569-2803,yes,Queens,4,8202,30 AVENUE
"(40.76242145900005, -73.83210661399994)",Office Supplies & Services,Peck's Office Plus,http://www.pecksofficeplus.com,36-18 Main Street,Flushing,NY,11354,(718) 353-3896, ,Queens,4,36-18,MAIN STREET
"(40.683912812000074, -73.83386189399994)",Office Supplies & Services,Innovation Printing and Promotions Inc.,http://www.go2innovation.com,107-27 Liberty Avenue,Ozone Park,NY,11417,(718) 641-2222, ,Queens,4,107-27,LIBERTY AVENUE
"(40.87921568200005, -73.42592117599992)",Office Supplies & Services,Speedy Scan Organizer Inc,http://speedyscan.biz,223 Wall Street,Huntington Station,NY,11743,(800) 655-2870,yes,Long Island,6,223,WALL STREET
"(40.81902319100004, -73.94597626899991)",Payrolling & Personnel,"All Things Traffic, Inc.",http://www.allthingstraffic.com,323 West 138th Street,New York,NY,10030,(212) 234-7171, ,Manhattan,1,323,WEST 138 STREET
"(40.752905026000064, -73.97867976899994)",Payrolling & Personnel,Headway Corporate Resources,http://www.headwaycorp.com,317 Madison Avenue,New York,NY,10017,(212) 672-6500, ,Manhattan,1,317,MADISON AVENUE
"(40.75269586700006, -73.9758573599999)",Payrolling & Personnel,TemPositions Group of Companies,http://www.tempositions.com,420 Lexington Avenue,New York,NY,10170,(212) 490-7400, ,Manhattan,1,420,LEXINGTON AVENUE
"(40.84199937900007, -73.70704729099992)",Payrolling & Personnel,Reel Numbers,http://www.reelnumbers.com,130 Shore Road,Port Washington,NY,11050,(212) 696-8670, ,New York State,6,130,SHORE ROAD
"(40.692986646000065, -73.74387832399992)",Payrolling & Personnel,PA Source,http://www.pasource.net,118-48 218th Street,Cambria Heights,NY,11411,(646) 495-1626, ,Queens,4,118-48,218 STREET
"(40.715142118000074, -73.83148982299991)",Payrolling & Personnel,"Allied Personnel Services, Inc.",http://www.aliedpersonnel.com,118-21 Queens Blvd,Forest Hills,NY,11375,(718) 261-7979, ,Queens,4,118-21,QUEENS BOULEVARD
"(40.75857659700006, -73.9844786189999)",Post Production & Training,1560 Broadway (formerly known as Teatown Communications Group),http://www.teatown.tv,1560 Broadway,New York,NY,10036,(212) 302-0722,yes,Manhattan,1,1560,BROADWAY
"(40.757238587000074, -73.9766534229999)",Post Production & Training,"Analog Digital International, Inc.",http://www.analogdigitalinc.com,20 East 49 Street,New York,NY,10017,(212) 688-5110, ,Manhattan,1,20,EAST 49 STREET
"(40.745304039000075, -73.99031103199991)",Post Production & Training,Chromavision,http://www.chromavision.net,49 West 27th Street,New York,NY,10001,(212) 686-7366,yes,Manhattan,1,49,WEST 27 STREET
"(40.76102425000005, -73.98459198599994)",Post Production & Training,Broadway Video,http://www.broadwayvideo.com,1619 Broadway,New York,NY,10019,(212) 333-0746, ,Manhattan,1,1619,BROADWAY
